,Username,Date,Text,Compound Score,Negative Score,Neutral Score,Positive Score,Tweets Ago
0,BBC,Mon Apr 09 21:43:45 +0000 2018,"Tuesday's Mail: ""May’s war on prostate cancer"" (via @hendopolis) #tomorrowspaperstoday https://t.co/budDbHK7lu",-0.8519,0.48,0.52,0.0,1
1,BBC,Mon Apr 09 21:40:28 +0000 2018,"Tuesday's Times: ""May under pressure to join strikes on Assad"" (via @hendopolis) #tomorrowspaperstoday https://t.co/RYQOBdXAgJ",-0.3612,0.263,0.615,0.123,2
2,BBC,Mon Apr 09 21:40:22 +0000 2018,"Tuesday's Mirror: ""£250 million tax bill for 129 Prem stars"" (via @hendopolis) #tomorrowspaperstoday https://t.co/laXhqisTUw",0.0,0.0,1.0,0.0,3
3,BBC,Mon Apr 09 21:40:13 +0000 2018,"Tuesday's Guardian: ""'Heinous' Syria attack could spark US military response, warns Trump"" (via @hendopolis)… https://t.co/H7D4VOvWkv",-0.3818,0.245,0.652,0.103,4
4,BBC,Mon Apr 09 21:40:07 +0000 2018,"Tuesday's Sun: ""You’re dead"" #tomorrowspaperstoday (via @hendopolis) https://t.co/TQpEoVbzdB",-0.6486,0.381,0.619,0.0,5
5,BBC,Mon Apr 09 21:24:38 +0000 2018,"Tuesday's Telegraph: ""'Act now to stop chemical warfare'"" (via @hendopolis) #tomorrowspaperstoday https://t.co/GqHfSnjcgn",-0.296,0.167,0.833,0.0,6
6,BBC,Mon Apr 09 21:19:39 +0000 2018,"Tuesday's i: ""UK plan to beat prostate cancer"" (via @hendopolis) #tomorrowspaperstoday https://t.co/pNt4PNOh8e",-0.6597,0.286,0.714,0.0,7
7,BBC,Mon Apr 09 21:19:35 +0000 2018,"Tuesday's Express: ""Revealed: shocking treatment of diabetics"" (via @hendopolis) #tomorrowspaperstoday https://t.co/1OKXl4NpkF",-0.4019,0.213,0.787,0.0,8
8,BBC,Mon Apr 09 21:07:56 +0000 2018,"Tuesday's Metro: ""Shrine to burglar... outside OAP's home"" (via @hendopolis) #tomorrowspaperstoday https://t.co/2nWGX6Te7V",0.0,0.0,1.0,0.0,9
9,BBC,Mon Apr 09 21:07:48 +0000 2018,"Tuesday's FT: ""Russian stocks battered by new US sanctions and Syria conflict"" (via @hendopolis)… https://t.co/ciZYUqNq6c",-0.3182,0.141,0.859,0.0,10
10,BBC,Mon Apr 09 20:34:30 +0000 2018,"RT @BBCBreaking: FBI raids offices of President Trump's lawyer Michael Cohen partly over payments made to porn star, US media say https://t…",0.0,0.0,1.0,0.0,11
